ID,type,area,length,elevation,pos_x,pos_y,footprint
94,building,2780.820000003739,221.85700763802848,24.439999999999998,724946.5361934976,6181429.768306233,"[(724946.4800000008, 6181459.0), (724912.6800000007, 6181446.800000001), (724931.0800000008, 6181395.0), (724946.8800000008, 6181400.0), (724949.0800000008, 6181405.4), (724981.2800000007, 6181415.800000001), (724967.2800000007, 6181458.4), (724956.8800000008, 6181455.800000001), (724957.0800000008, 6181452.800000001), (724955.0800000008, 6181455.800000001), (724949.8800000008, 6181453.2), (724946.4800000008, 6181459.0)]"
95,building,74.21999999661466,53.87468760940681,5.120000000000001,724458.7987460712,6181473.244893558,"[(724447.6800000007, 6181476.2), (724444.6800000007, 6181473.2), (724452.0800000008, 6181473.600000001), (724456.2800000007, 6181471.0), (724458.4800000008, 6181471.600000001), (724462.0800000008, 6181470.0), (724468.0800000008, 6181470.4), (724466.0800000008, 6181475.0), (724454.8800000008, 6181476.0), (724450.8800000008, 6181473.600000001), (724447.6800000007, 6181476.2)]"
96,building,221.16000000042607,78.85156898432312,2.740000000000001,724457.0981105694,6181491.177066379,"[(724457.8800000008, 6181498.4), (724448.4800000008, 6181495.600000001), (724446.4800000008, 6181480.600000001), (724452.4800000008, 6181481.600000001), (724448.8800000008, 6181481.600000001), (724449.0800000008, 6181487.2), (724466.6800000007, 6181484.800000001), (724465.6800000007, 6181497.800000001), (724457.8800000008, 6181498.4)]"
97,building,238.25999999955297,75.81541272110499,6.480000000000001,724491.2744654305,6181488.278273034,"[(724489.8800000008, 6181499.0), (724490.0800000008, 6181494.4), (724483.6800000007, 6181495.600000001), (724482.0800000008, 6181487.0), (724488.0800000008, 6181486.2), (724488.0800000008, 6181475.4), (724493.2800000007, 6181474.4), (724499.6800000007, 6181497.4), (724489.8800000008, 6181499.0)]"
98,building,9737.300000071737,565.8698106859829,19.54,724724.6497914897,6181448.816191759,"[(724792.4800000008, 6181501.4), (724763.0800000008, 6181492.0), (724763.8800000008, 6181485.800000001), (724652.2800000007, 6181450.800000001), (724645.2800000007, 6181468.4), (724616.6800000007, 6181459.2), (724613.8800000008, 6181456.600000001), (724618.4800000008, 6181443.4), (724616.0800000008, 6181440.800000001), (724617.0800000008, 6181445.4), (724614.2800000007, 6181444.2), (724614.8800000008, 6181441.2), (724615.2800000007, 6181440.4), (724616.8800000008, 6181440.600000001), (724619.4800000008, 6181442.4), (724623.2800000007, 6181429.2), (724655.8800000008, 6181440.0), (724669.2800000007, 6181398.2), (724816.6800000007, 6181445.2), (724801.8800000008, 6181493.4), (724796.8800000008, 6181493.2), (724796.8800000008, 6181495.4), (724795.2800000007, 6181498.600000001), (724796.0800000008, 6181491.800000001), (724792.4800000008, 6181501.4)]"
99,building,114.18000000282657,102.0566348355762,3.0199999999999996,724439.2830127878,6181486.073194371,"[(724448.0800000008, 6181501.4), (724444.4800000008, 6181498.4), (724444.4800000008, 6181496.800000001), (724436.4800000008, 6181495.4), (724437.4800000008, 6181491.0), (724434.6800000007, 6181491.0), (724434.0800000008, 6181489.0), (724435.2800000007, 6181476.600000001), (724439.8800000008, 6181477.0), (724437.4800000008, 6181474.2), (724440.4800000008, 6181472.0), (724444.0800000008, 6181474.600000001), (724442.2800000007, 6181475.600000001), (724443.8800000008, 6181476.0), (724444.6800000007, 6181476.4), (724444.6800000007, 6181476.800000001), (724436.6800000007, 6181477.800000001), (724440.8800000008, 6181481.600000001), (724437.0800000008, 6181485.0), (724437.4800000008, 6181490.800000001), (724442.2800000007, 6181491.2), (724445.8800000008, 6181498.600000001), (724449.2800000007, 6181498.4), (724448.0800000008, 6181501.4)]"
100,building,18.579999999485445,22.368966827589833,0.049999999999998934,724898.4314172952,6181509.075493362,"[(724897.0800000008, 6181514.800000001), (724897.2800000007, 6181505.800000001), (724900.4800000008, 6181505.4), (724899.2800000007, 6181511.2), (724897.0800000008, 6181514.800000001)]"
101,building,163.04000000044704,59.20676022157422,5.8,724443.002064116,6181510.3219496235,"[(724441.0800000008, 6181517.4), (724436.4800000008, 6181516.2), (724438.0800000008, 6181501.4), (724443.4800000008, 6181501.800000001), (724443.8800000008, 6181505.4), (724450.6800000007, 6181508.2), (724449.8800000008, 6181514.2), (724453.8800000008, 6181514.600000001), (724441.0800000008, 6181517.4)]"
102,building,20.720000000502914,19.214287427958467,2.46,724434.2912612619,6181521.385328185,"[(724435.8800000008, 6181523.4), (724431.2800000007, 6181523.2), (724431.6800000007, 6181519.4), (724438.2800000007, 6181520.0), (724435.8800000008, 6181523.4)]"
103,building,30.719999999152495,25.268659774334136,5.3500000000000005,724894.258645834,6181520.438411458,"[(724894.2800000007, 6181525.600000001), (724891.6800000007, 6181524.800000001), (724893.4800000008, 6181515.800000001), (724897.2800000007, 6181516.600000001), (724894.2800000007, 6181525.600000001)]"
